sadness,joy,fear,disgust,anger,score,label_state
0.09228,0.276299,0.091197,0.021289,0.01892,0.859439,1
0.027549,0.249319,0.122307,0.003458,0.027307,-0.906899,1
0.047916,0.86036,0.013088,0.023262,0.009676,0.992005,1
0.086743,0.803165,0.026829,0.017929,0.016192,0.995493,1
0.663948,0.00966,0.149687,0.227715,0.29175,-0.953096,0
0.632556,0.028155,0.124549,0.050281,0.219346,-0.961903,0
0.561706,0.051016,0.425787,0.018008,0.226768,-0.899567,0
0.190405,0.15254,0.027247,0.398452,0.027597,0,1
0.713061,0.00702,0.20846,0.086286,0.14331,-0.955171,0
0.249363,0.149588,0.026315,0.036382,0.063752,0,1
0.294555,0.003458,0.250764,0.095844,0.565609,-0.937229,0
0.005647,0.958942,0.015591,0.002555,0.003279,0.972897,1
0.117055,0.658338,0.04229,0.124249,0.026372,0.960831,1
0.540394,0.18152,0.281959,0.074888,0.113042,-0.791379,1
0.272943,0.549692,0.083373,0.016683,0.046782,0.991241,1
0.086333,0.597251,0.030409,0.016464,0.019637,0.795476,1
0.455845,0.004346,0.091974,0.405874,0.402415,-0.994967,0
0.4732,0.05241,0.442608,0.184985,0.116019,-0.947605,0
0.003821,0.83131,0.006411,0.000962,0.021648,0.972153,1
0.187413,0.388217,0.127395,0.028812,0.048599,0.99389,1
0.305015,0.162118,0.035783,0.013625,0.028274,0.989452,1
0.214301,0.136591,0.074869,0.094688,0.126987,0,1
0.218364,0.112451,0.05774,0.158013,0.07244,0.79384,1
0.044633,0.745716,0.060642,0.014482,0.041946,0.988992,1
0.046009,0.839059,0.000891,0.019651,0.006283,0.996108,1
0.041775,0.373728,0.132005,0.210724,0.113336,0.986323,1
0.102602,0.432742,0.024997,0.059363,0.140519,0.969266,1
0.336467,0.260631,0.111051,0.034031,0.373511,-0.832694,1
0.066371,0.486752,0.018204,0.014768,0.007981,0.868873,1
0.007622,0.807133,0.010981,0.008063,0.023555,0.996775,1
0.339457,0.163648,0.122906,0.151748,0.271704,-0.655237,1
0.916667,0,0,0.931034,0,-0.917412,0
0.14486,0.179751,0.02579,0.10959,0.155988,0.971271,1
0.04033,0.600605,0.004397,0.022455,0.005116,0.828329,1
0.004363,0.523849,0.007984,0.00115,0.005835,0.89012,1
0.244973,0.289784,0.099153,0.163761,0.174946,-0.793523,1
0.153385,0.784641,0.008742,0.013218,0.017004,0.965156,1
0.383665,0.125046,0.044718,0.105706,0.555002,-0.900902,0
0.053206,0.75777,0.063436,0.010864,0.016724,0.992852,1
0.249764,0.188294,0.04024,0.169605,0.112225,0,1
0.451881,0.149967,0.127774,0.086077,0.445929,-0.924396,0
0.086195,0.653591,0.065989,0.040688,0.029827,0.550501,1
0.008087,0.533312,0.087822,0.033054,0.054241,0.989666,1
0.010362,0.873715,0.022514,0.006664,0.007004,0.969843,1
0.692866,0.086652,0.063728,0.131879,0.134236,-0.683187,1
0.619176,0.050424,0.060866,0.079,0.0973,-0.878521,0
0.204353,0.700558,0.013178,0.022856,0.034959,0.962768,1
0.022231,0.890867,0.049692,0.00789,0.00767,0.9595,1
0.156561,0.591781,0.076146,0.06458,0.100655,0.438269,1
0.343169,0.134325,0.118216,0.060984,0.396712,-0.850789,1
0.429761,0.268903,0.246441,0.166647,0.085411,0,1
